Time:54:344  g:0.1016618
Time:54:365  g:0.4105572
Time:54:386  g:0.6099707
Time:54:407  g:0.6177908
Time:54:428  g:0.6217009
Time:54:450  g:0.6725318
Time:54:471  g:0.6999022
Time:54:492  g:0.6803519
Time:54:513  g:0.6451613
Time:54:534  g:0.6256109
Time:54:555  g:0.6138808
Time:54:576  g:0.6334311
Time:54:597  g:0.5317693
Time:54:618  g:0.2932551
Time:54:639  g:-0.1994135
Time:54:660  g:-0.688172
Time:54:681  g:-1.1652
Time:54:702  g:-1.599218
Time:54:723  g:-1.869013
Time:54:744  g:-1.951124
Time:54:765  g:-1.958944
Time:54:786  g:-1.931574
Time:54:807  g:-1.865103
Time:54:828  g:-1.794721
Time:54:849  g:-1.69697
Time:54:870  g:-1.603128
Time:54:891  g:-1.505376
Time:54:912  g:-1.372434
Time:54:933  g:-1.255132
Time:54:954  g:-1.12219
Time:54:975  g:-0.8680352
Time:54:996  g:-0.516129
Time:55:17  g:-0.1681329
Time:55:38  g:0.1524927
Time:55:59  g:0.4261975
Time:55:80  g:0.57087
Time:55:101  g:0.6686217
Time:55:122  g:0.7390029
Time:55:143  g:0.8054741
Time:55:164  g:0.797654
Time:55:185  g:0.7116324
Time:55:206  g:0.6217009
Time:55:227  g:0.6099707
Time:55:248  g:0.629521
Time:55:269  g:0.6177908
Time:55:290  g:0.4692082
Time:55:311  g:0.2189638
Time:55:332  g:-0.2658846
Time:55:353  g:-0.8523949
Time:55:374  g:-1.372434
Time:55:395  g:-1.68915
Time:55:416  g:-1.786901
Time:55:437  g:-1.767351
Time:55:458  g:-1.861193
Time:55:479  g:-1.900293
Time:55:500  g:-1.892473
Time:55:521  g:-1.857283
Time:55:542  g:-1.763441
Time:55:563  g:-1.642229
Time:55:584  g:-1.583578
Time:55:605  g:-1.505376
Time:55:626  g:-1.298143
Time:55:647  g:-1.016618
Time:55:668  g:-0.6412512
Time:55:689  g:-0.2697947
Time:55:710  g:0.04301075
Time:55:731  g:0.2971652
Time:55:752  g:0.5083089
Time:55:773  g:0.5943304
Time:55:794  g:0.629521
Time:55:815  g:0.6256109
Time:55:836  g:0.6256109
Time:55:857  g:0.6217009
Time:55:878  g:0.6334311
Time:55:899  g:0.684262
Time:55:920  g:0.6920821
Time:55:941  g:0.6451613
Time:55:962  g:0.5200391
Time:55:983  g:0.3088954
Time:56:4  g:-0.08211143
Time:56:25  g:-0.6490713
Time:56:46  g:-1.102639
Time:56:67  g:-1.356794
Time:56:88  g:-1.489736
Time:56:109  g:-1.626588
Time:56:130  g:-1.759531
Time:56:152  g:-1.904203
Time:56:173  g:-1.970675
Time:56:194  g:-1.990225
Time:56:215  g:-1.947214
Time:56:237  g:-1.829912
Time:56:258  g:-1.681329
Time:56:279  g:-1.438905
Time:56:300  g:-1.216031
Time:56:322  g:-0.9462366
Time:56:343  g:-0.512219
Time:56:364  g:-0.03128055
Time:56:385  g:0.3167155
Time:56:406  g:0.57087
Time:56:427  g:0.7077224
Time:56:448  g:0.7859238
Time:56:469  g:0.856305
Time:56:490  g:0.8328446
Time:56:511  g:0.8054741
Time:56:532  g:0.7702835
Time:56:553  g:0.7233627
Time:56:574  g:0.6999022
Time:56:595  g:0.6959922
Time:56:616  g:0.6373411
Time:56:637  g:0.5513197
Time:56:658  g:0.5278592
Time:56:679  g:0.2580645
Time:56:700  g:-0.1681329
Time:56:721  g:-0.6138808
Time:56:742  g:-1.13001
Time:56:763  g:-1.70088
Time:56:784  g:-1.982405
Time:56:805  g:-1.998045
Time:56:826  g:-1.998045
Time:56:847  g:-1.994135
Time:56:868  g:-1.927664
Time:56:889  g:-1.786901
Time:56:910  g:-1.638319
Time:56:931  g:-1.450635
Time:56:952  g:-1.251222
Time:56:973  g:-1.059628
Time:56:994  g:-0.6256109
Time:57:15  g:-0.113392
Time:57:36  g:0.3088954
Time:57:57  g:0.5904203
Time:57:78  g:0.7546432
Time:57:99  g:0.7585533
Time:57:120  g:0.7781036
Time:57:142  g:0.797654
Time:57:163  g:0.8719453
Time:57:184  g:0.8914956
Time:57:205  g:0.8093842
Time:57:226  g:0.7507331
Time:57:247  g:0.7585533
Time:57:268  g:0.7781036
Time:57:289  g:0.7546432
Time:57:310  g:0.6803519
Time:57:331  g:0.5317693
Time:57:352  g:-0.01564027
Time:57:373  g:-0.5395895
Time:57:394  g:-1.016618
Time:57:415  g:-1.352884
Time:57:436  g:-1.626588
